item_id,title,author_last,author_first,gr_id,cover_img_url
11118,the secret team the cia and its allies in control of the united states and the world,prouty, l fletcher,11795944,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11119,trouble according to humphrey,birney, betty g ,825679,https://images.gr-assets.com/books/1372199983m/825679.jpg
11120,ivy bean whats the big idea ,barrows, annie ,108980,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11121,ivy bean doomed to dance,barrows, annie ,108980,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11122,ivy bean bound to be bad,barrows, annie,108980,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11123,ivy bean take the case,barrows, annie,108980,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11124,the reading group,noble, elizabeth,44305,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11125,the friendship test,noble, elizabeth,44310,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11126,alphabet weekends a novel,noble, elizabeth,44312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11127,the sun also rises ,hemingway, ernest,46168,https://images.gr-assets.com/books/1355359043m/46168.jpg
11128,isle of dogs,cornwell, patricia daniels,3066582,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11129,white fragility why its so hard for white people to talk about racism,diangelo, robin j ,95101,https://images.gr-assets.com/books/1320504083m/95101.jpg
11130,mommy burnout how to reclaim your life and raise healthier children in the process,ziegler, sheryl ,3003042,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11131,a reliable wife a novel,goolrick, robert,7018208,https://images.gr-assets.com/books/1404581113m/7018208.jpg
11132,a stolen life,dugard, jaycee,11330361,https://images.gr-assets.com/books/1327928284m/11330361.jpg
11133,american prison a reporters undercover journey into the business of punishment,bauer, shane,1039348,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11134,the stranger beside me ted bundy the shocking inside story,rule, ann ,15654,https://images.gr-assets.com/books/1330072383m/15654.jpg
11135,babushkas doll,polacco, patricia ,835012,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11136,pirates of the caribbean dead mans chest,redbank, tennant ,1070241,https://images.gr-assets.com/books/1357129933m/1070241.jpg
11137,oscar cat about town,herriot, james,31450617,https://images.gr-assets.com/books/1479234745m/31450617.jpg
11138,garfields guide to everything,acey, mark ,23874708,https://images.gr-assets.com/books/1419255509m/23874708.jpg
11139,healthy garden healthy you,shammas, milo ,26055548,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11140,papercrafts around the world,fiarotta, phyllis ,10853145,https://images.gr-assets.com/books/1320463265m/10853145.jpg
11141,the world of herbs spices,mcnair, james k ,210365,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11142,hopscotch around the world ,lankford, mary d ,53413,https://images.gr-assets.com/books/1367728486m/53413.jpg
11143,down to earth vegetable gardening know how,raymond, dick ,582466,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11144,eye see it can you find them all ,barbo, maria s ,20416316,https://images.gr-assets.com/books/1388648341m/20416316.jpg
11145,the dumb bunnies,denim, sue,802362,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11146,roller skates ,calmenson, stephanie,984168,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11147,young cam jansen and the library mystery,adler, david a ,570352,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11148,just keep swimming,lagonegro, melissa ,177701,https://images.gr-assets.com/books/1320429672m/177701.jpg
11149,diccionario de sin nimos ant nimos e ideas afines,alboukrek, aar n ,317341,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11150,the star of the show,neusner, dena ,8250380,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11151,the value of courage the story of jackie robinson,johnson, spencer ,726760,https://images.gr-assets.com/books/1320407163m/726760.jpg
11152,homes around the world abc an alphabet book,doering, amanda ,28251384,https://images.gr-assets.com/books/1456694188m/28251384.jpg
11153,benny and penny in how to say goodbye a toon book,hayes, geoffrey,20657293,https://images.gr-assets.com/books/1391948990m/20657293.jpg
11154,polar bear patrol,stamper, judith bauer,1761580,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11155,crown an ode to the fresh cut,barnes, derrick d ,9574917,https://images.gr-assets.com/books/1344270535m/9574917.jpg
11156,the case of the climbing cat,rylant, cynthia,643120,https://images.gr-assets.com/books/1384259448m/643120.jpg
11157,straight to the pole,omalley, kevin,1080286,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11158,on the go with pirate pete and pirate joe,cannon, a e ,56576,https://images.gr-assets.com/books/1374163993m/56576.jpg
11159,season of the sandstorms,osborne, mary pope,3751593,https://images.gr-assets.com/books/1297370321m/3751593.jpg
11160,grace in autumn,copeland, lori,28446947,https://images.gr-assets.com/books/1456560519m/28446947.jpg
11161,robotics from leonardo da vinci to isaac asimov,alkire, jessie,463650,https://images.gr-assets.com/books/1309286046m/463650.jpg
11162,neo leo the ageless ideas of leonardo da vinci,barretta, gene ,34684622,https://images.gr-assets.com/books/1508059671m/34684622.jpg
11163,100 masterpieces of art,vaizey, marina ,1534837,https://images.gr-assets.com/books/1327622861m/1534837.jpg
11164,the story of football ,leckie, robert,2754656,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11165,understanding the declaration of independence,isaacs, sally senzell,285537,https://images.gr-assets.com/books/1373997194m/285537.jpg
11166,marlon bundos a day in the life of the vice president,pence, charlotte,31949216,https://images.gr-assets.com/books/1473698405m/31949216.jpg
11167,cyrus the unsinkable sea serpent,peet, bill ,134098,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11168,chester the mouse look and find book,nielson, claire,1703186,https://images.gr-assets.com/books/1396840333m/1703186.jpg
11169,and the dish ran away with the spoon,stevens, janet ,109905,https://images.gr-assets.com/books/1362580539m/109905.jpg
11170,here comes t rex cottontail,grambling, lois g ,753035,https://images.gr-assets.com/books/1415677956m/753035.jpg
11171,tar beach,ringgold, faith ,11359,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11172,edwina the emu,knowles, sheena ,716530,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11173,swine lake,marshall, james,10711412,https://images.gr-assets.com/books/1327166975m/10711412.jpg
11174,the happy hippopotami,martin, bill,17455541,https://images.gr-assets.com/books/1362252767m/17455541.jpg
11175,the pig in the pond,waddell, martin ,33567,https://images.gr-assets.com/books/1356443028m/33567.jpg
11176,finders keepers ,will,1904,602034,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11177,ogilvy,underwood, deborah,641601,https://images.gr-assets.com/books/1320545976m/641601.jpg
11178,old noahs elephants an israeli folktale,ludwig, warren ,1316999,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11179,galimoto,williams, karen lynn ,6068557,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11180,mammoth magic,gill, shelley ,49846,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11181,how to make an apple pie and see the world,priceman, majorie,154422,https://images.gr-assets.com/books/1320430792m/154422.jpg
11182,fussy freya,quarmby, katharine ,190399,https://images.gr-assets.com/books/1503572853m/190399.jpg
11183,goldilocks and the three hares,petach, heidi ,196939,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11184,give a dog a bone,wildsmith, brian ,23211040,https://images.gr-assets.com/books/1410914716m/23211040.jpg
11185,esio trot,dahl, roald ,531759,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11186,tin lizzie ,spier, peter ,870121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11187,heckedy peg,wood, audrey ,285672,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11188,invasion of the giant bugs,wood, a j ,138796,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11189,the old man and the tree,wisenfeld, vicki ,30316148,https://images.gr-assets.com/books/1470284811m/30316148.jpg
11190,fairest of all,mlynowski, sarah ,3157718,https://images.gr-assets.com/books/1401789048m/3157718.jpg
11191,i can hear the sun,polacco, patricia,443615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11192,aunt chip and the great triple creek dam affair,polacco, patricia ,228195,https://images.gr-assets.com/books/1288793441m/228195.jpg
11193,the floating house ,sanders, scott r ,516162,https://images.gr-assets.com/books/1308918770m/516162.jpg
11194,pigs ahoy ,mcphail, david m ,453776,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
